bins,0.6_recall
-13.271211780781574,0.009259259259259259
-12.561480001318985,0.02830188679245283
-11.851748221856397,0.03333333333333333
-11.142016442393809,0.22641509433962265
-10.43228466293122,0.45544554455445546
-9.722552883468632,0.6631578947368421
-9.012821104006044,0.822429906542056
-8.303089324543455,0.8738738738738738
-7.593357545080867,0.9038461538461539
-6.883625765618278,0.9354838709677419
-6.17389398615569,0.9534883720930233
-5.464162206693102,0.9175257731958762
-4.754430427230513,0.9152542372881356
-4.044698647767925,0.9247311827956989
-3.3349668683053366,0.7878787878787878
-2.6252350888427483,0.9130434782608695
-1.91550330938016,0.8
-1.2057715299175715,0.75
-0.49603975045498316,1.0
0.2136920290076052,1.0
