bins,0.5_recall
-13.271211780781574,0.009259259259259259
-12.561480001318985,0.018867924528301886
-11.851748221856397,0.05555555555555555
-11.142016442393809,0.330188679245283
-10.43228466293122,0.5841584158415841
-9.722552883468632,0.7473684210526316
-9.012821104006044,0.8878504672897196
-8.303089324543455,0.9369369369369369
-7.593357545080867,0.9230769230769231
-6.883625765618278,0.9758064516129032
-6.17389398615569,0.9844961240310077
-5.464162206693102,0.9484536082474226
-4.754430427230513,0.9830508474576272
-4.044698647767925,0.978494623655914
-3.3349668683053366,0.9393939393939394
-2.6252350888427483,0.9565217391304348
-1.91550330938016,0.9333333333333333
-1.2057715299175715,0.75
-0.49603975045498316,1.0
0.2136920290076052,1.0
