bins,0.6_recall
-13.271211780781574,0.6111111111111112
-12.561480001318985,0.5377358490566038
-11.851748221856397,0.5111111111111111
-11.142016442393809,0.7547169811320755
-10.43228466293122,0.8118811881188119
-9.722552883468632,0.9263157894736842
-9.012821104006044,0.9252336448598131
-8.303089324543455,0.954954954954955
-7.593357545080867,0.9326923076923077
-6.883625765618278,0.9919354838709677
-6.17389398615569,0.9844961240310077
-5.464162206693102,0.9690721649484536
-4.754430427230513,0.9915254237288136
-4.044698647767925,1.0
-3.3349668683053366,0.9696969696969697
-2.6252350888427483,1.0
-1.91550330938016,1.0
-1.2057715299175715,1.0
-0.49603975045498316,1.0
0.2136920290076052,1.0
